personId,firstName,familyName,gamesPlayed,totalMinutes,points,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,twoPointersMade,twoPointersAttempted,assists,turnovers,steals,blocks,reboundsOffensive,reboundsDefensive,reboundsTotal,usagePercentageWeighted,assistPercentageWeighted,assistToTurnoverWeighted,assistRatioWeighted,turnoverRatioWeighted,offensiveReboundPercentageWeighted,defensiveReboundPercentageWeighted,reboundPercentageWeighted,offensiveRatingWeighted,defensiveRatingWeighted,netRatingWeighted,PIEWeighted,twoPointPercentage,threePointersPercentage,fieldGoalPercentage,freeThrowPercentage,trueShootingPercentage,effectiveFieldGoalPercentage,pointsPerMinute,assistsPerMinute,stealsPerMinute,blocksPerMinute,threePointAttemptRate,freeThrowRate,usagePercentage,assistPercentage,assistToTurnover,assistRatio,turnoverRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,offensiveRating,defensiveRating,netRating,PIE,finishing,shooting,playmaking,rebounding,defense,position,physicalGroup,heightInches,weight,birthDate,physical
2544,LeBron,James,130,4433.5,2966,1124,2189,226,639,492,647,898,1550,1007,439,142,74,115,795,910,1232.0748,1643.3572833333333,13786.549,113748.18833333334,49046.54833333333,119.68515,774.56685,458.32388333333336,504355.0266666667,502439.955,1925.4666666666667,722.7941333333333,0.5793548387096774,0.3536776212832551,0.5134764732754683,0.7604327666151468,0.599511658743249,0.56509821836455,0.6689974061125522,0.22713431825871208,0.03202887109507161,0.016691101838276757,0.29191411603471906,0.295568752855185,0.2779011616104658,0.3706681590917634,3.109630991316116,25.656521559339875,11.062715311454456,0.02699563550242472,0.1747077591068005,0.10337744069771813,113.76001503702868,113.32806022329989,0.4342994624262246,0.16303014172399533,77.1,50.6,85.6,63.3,47.5,Forward,Forward,81,250.0,1984-12-30,87.4
101108,Chris,Paul,98,2519.7,770,267,639,150,401,86,94,117,238,658,145,114,22,39,285,324,344.45245,876.35455,9530.495166666666,112093.14333333333,25080.488333333335,35.99883333333333,276.76346666666666,157.1919,284600.975,290357.0133333333,-5754.863333333333,252.1667,0.49159663865546216,0.3740648379052369,0.41784037558685444,0.9148936170212766,0.5658768887059792,0.5352112676056338,0.3055919355478827,0.26114219946819067,0.04524348136682939,0.008731198158510934,0.6275430359937402,0.14710485133020346,0.13670375441520816,0.3478011469619399,3.782392811313516,44.48670212062282,9.953759706843408,0.014286952150388273,0.10983984865923192,0.062385164900583406,112.95034131047346,115.23475546030612,-2.2839478244764586,0.10007806484898997,29.6,74.8,90.5,28.0,43.2,Guard,Guard,72,175.0,1985-05-06,4.5
200768,Kyle,Lowry,49,777.4833333333333,155,45,142,33,113,32,39,12,29,107,25,35,13,11,65,76,78.35443333333333,148.63385,725.2471666666667,29193.173333333332,7140.6016666666665,11.519166666666667,64.39201666666666,36.89138333333333,80388.44166666667,85950.81,-5561.243333333333,44.00315,0.41379310344827586,0.2920353982300885,0.31690140845070425,0.8205128205128205,0.4869313897964313,0.43309859154929575,0.19936118673497824,0.13762352890737206,0.04501704216596283,0.016720615661643335,0.795774647887324,0.2746478873239437,0.100779566550194,0.19117303693541127,0.9328137795022401,37.548294711569376,9.184250466247937,0.014815966044288194,0.0828210894124204,0.04744974168792471,103.39571051898218,110.55003537053312,-7.1528778751956095,0.05659690454243392,22.2,47.8,71.5,12.2,67.2,Guard,Guard,72,196.0,1986-03-25,23.9
200782,P.J.,Tucker,3,57.86666666666667,9,3,7,3,6,0,0,0,1,0,1,1,1,4,4,8,3.465733333333333,0.0,0.0,0.0,488.19666666666666,3.452216666666667,5.3322,4.149683333333334,6122.316666666667,7411.653333333334,-1289.3366666666666,0.9397500000000001,0.0,0.5,0.42857142857142855,,0.6428571428571429,0.6428571428571429,0.15552995391705068,0.0,0.01728110599078341,0.01728110599078341,0.8571428571428571,0.0,0.05989170506912442,0.0,0.0,0.0,8.436578341013824,0.05965812211981568,0.09214631336405531,0.07171111751152075,105.80040322580645,128.0815668202765,-22.281163594470044,0.016239919354838712,14.9,97.1,11.5,48.1,20.3,Forward,Forward,77,245.0,1985-05-05,44.6
201142,Kevin,Durant,140,5104.516666666666,3673,1308,2500,346,822,711,828,962,1678,635,436,112,148,64,736,800,1390.3096833333334,984.9792833333333,9325.8995,82156.66,56910.723333333335,65.4658,709.4283333333333,401.3511833333333,598748.405,585990.1566666666,12774.55,749.3119166666667,0.5733015494636472,0.4209245742092457,0.5232,0.8586956521739131,0.6411643950396604,0.5924,0.7195588220889343,0.12439963300475723,0.021941352592965056,0.028993930212132393,0.3288,0.3312,0.2723685265663416,0.19296230136055978,1.8269897247862188,16.094895043931682,11.149091490869198,0.012825073219469033,0.1389805107241626,0.07862667702786096,117.29776668375393,114.79836288776933,2.502597372914837,0.14679390147940877,81.7,75.5,64.2,41.6,39.9,Forward,Forward,83,240.0,1988-09-29,92.9
201143,Al,Horford,105,2627.766666666667,910,333,785,188,519,56,64,145,266,244,88,66,102,123,465,588,382.9075,331.99348333333336,3264.175,53878.24,20321.331666666665,118.73815,456.78163333333333,284.2746833333333,307922.1116666667,289862.83166666667,18063.896666666667,248.91403333333332,0.5451127819548872,0.3622350674373796,0.42420382165605097,0.875,0.5595454769049142,0.5439490445859873,0.34630167569418896,0.09285451524107924,0.02511638527012799,0.038816231781106894,0.6611464968152866,0.08152866242038216,0.1457159438306293,0.12634054900866387,1.2421860134715157,20.50343384115789,7.733309020334123,0.04518595638882194,0.17382884071391422,0.10818109801732775,117.18015742138445,110.30767508530691,6.874239214542133,0.09472455697487092,38.0,70.8,62.3,72.6,61.1,Center-Forward,Big,80,240.0,1986-06-03,17.1
201144,Mike,Conley,125,2747.1833333333334,827,259,683,183,476,126,140,76,207,476,109,114,28,50,225,275,359.2126333333333,633.67425,5505.749,98215.52333333333,21728.025,48.8754,222.90768333333332,136.82696666666666,314831.215,303063.6383333333,11773.503333333334,217.80243333333334,0.3671497584541063,0.38445378151260506,0.37920937042459735,0.9,0.5553317217297878,0.513177159590044,0.3010356061663158,0.17326837791434863,0.0414970484920919,0.010192257524373449,0.6969253294289898,0.20497803806734993,0.13075670231934525,0.23066325509157865,2.004143274020057,35.751353810872956,7.909200939143729,0.017791095121670073,0.08114044688195787,0.04980627430519744,114.6014578568352,110.31795172024678,4.285663497764377,0.0792820889274469,22.5,76.7,86.2,15.2,59.4,Guard,Guard,73,175.0,1987-10-11,7.9
201145,Jeff,Green,62,571.2666666666667,239,86,189,41,123,26,31,45,66,28,13,8,6,18,65,83,88.17516666666667,40.638783333333336,100.54716666666667,6672.136666666667,3384.505,15.128166666666667,61.93566666666667,37.276066666666665,62749.71,65816.04333333333,-3066.601666666667,49.005766666666666,0.6818181818181818,0.3333333333333333,0.455026455026455,0.8387096774193549,0.5897157520726412,0.5634920634920635,0.41836853775236316,0.04901388726805928,0.01400396779087408,0.01050297584315556,0.6507936507936508,0.164021164021164,0.15435027424436926,0.0711380266075388,0.176007410432956,11.679548372038745,5.924562376006535,0.026481794841871863,0.10841813513828918,0.06525160462130937,109.84311471583615,115.21071887034661,-5.368073870930098,0.08578439724588634,66.3,64.0,25.3,35.5,23.1,Forward,Forward,80,235.0,1986-08-28,68.8
201566,Russell,Westbrook,139,3944.95,1965,731,1670,222,670,281,416,509,1000,883,451,189,49,182,536,718,948.2207333333333,1214.6285333333333,9159.6205,109812.91,55310.066666666666,179.16075,520.7187333333334,352.21375,446206.595,469911.62666666665,-23705.786666666667,386.55968333333334,0.509,0.33134328358208953,0.4377245508982036,0.6754807692307693,0.5302098173811682,0.5041916167664671,0.4981051724356456,0.22383046679932572,0.04790935246327584,0.012420943231219662,0.40119760479041916,0.24910179640718563,0.24036318162038386,0.30789453182761084,2.321859719388079,27.836324921735386,14.020473432278399,0.04541521438801506,0.1319962821666519,0.08928218355112233,113.10830175287393,119.11725792891333,-6.009147559960625,0.0979884873910527,48.7,35.7,80.0,61.3,41.4,Guard,Guard,76,200.0,1988-11-12,53.1
201567,Kevin,Love,60,864.25,370,120,314,77,209,53,67,43,105,89,44,29,13,77,232,309,155.9219,122.63433333333333,769.1688333333334,15204.13,7930.0616666666665,66.83493333333334,224.93843333333334,144.41948333333332,98288.42,103745.2,-5457.098333333333,91.77888333333333,0.4095238095238095,0.3684210526315789,0.3821656050955414,0.7910447761194029,0.5386048678234541,0.5047770700636943,0.4281168643332369,0.10297946196123807,0.033555105582875326,0.015041943881978595,0.6656050955414012,0.21337579617834396,0.18041295921319062,0.14189682769260437,0.8899841866743805,17.59228232571594,9.175657120817664,0.07733287050429082,0.2602700993153987,0.1671038279818725,113.72683829910326,120.04072895574197,-6.314258991418378,0.1061948317423585,30.3,65.2,55.2,91.8,33.6,Forward-Center,Big,82,251.0,1988-09-07,50.8
